"id";"created";"status";"data";"owner_id"
34;"2018-01-27 05:00:54.330580";1;"{""choice_id"": 14, ""compared_id"": [17], ""choice_slogan"": ""Help us build a roadmap of memory!"", ""compared_slogan"": [""How does your memory stack up to others?""]}";0
35;"2018-01-27 05:00:55.509294";1;"{""choice_id"": 16, ""compared_id"": [14], ""choice_slogan"": ""Test your subconscious!"", ""compared_slogan"": [""Help us build a roadmap of memory!""]}";0
36;"2018-01-27 05:00:56.606083";1;"{""choice_id"": 17, ""compared_id"": [16], ""choice_slogan"": ""How does your memory stack up to others?"", ""compared_slogan"": [""Test your subconscious!""]}";0
37;"2018-01-27 05:00:57.953551";1;"{""choice_id"": 14, ""compared_id"": [16], ""choice_slogan"": ""Help us build a roadmap of memory!"", ""compared_slogan"": [""Test your subconscious!""]}";0
38;"2018-01-27 05:00:59.194303";1;"{""choice_id"": 17, ""compared_id"": [15], ""choice_slogan"": ""How does your memory stack up to others?"", ""compared_slogan"": [""Can you decode an alien language?""]}";0
39;"2018-01-28 17:29:44.572205";1;"{""choice_id"": 13, ""compared_id"": [16], ""choice_slogan"": ""Can you predict the weather?"", ""compared_slogan"": [""Test your subconscious!""]}";6
40;"2018-01-28 17:29:45.985729";1;"{""choice_id"": 15, ""compared_id"": [16], ""choice_slogan"": ""Can you decode an alien language?"", ""compared_slogan"": [""Test your subconscious!""]}";6
41;"2018-01-28 17:29:47.240283";1;"{""choice_id"": 14, ""compared_id"": [15], ""choice_slogan"": ""Help us build a roadmap of memory!"", ""compared_slogan"": [""Can you decode an alien language?""]}";6
42;"2018-01-28 17:29:48.389561";1;"{""choice_id"": 17, ""compared_id"": [16], ""choice_slogan"": ""How does your memory stack up to others?"", ""compared_slogan"": [""Test your subconscious!""]}";6
43;"2018-01-28 17:29:49.474367";1;"{""choice_id"": 14, ""compared_id"": [16], ""choice_slogan"": ""Help us build a roadmap of memory!"", ""compared_slogan"": [""Test your subconscious!""]}";6
44;"2018-01-28 17:29:50.822712";1;"{""choice_id"": 18, ""compared_id"": [13], ""choice_slogan"": ""Contribute to our understanding of understanding!"", ""compared_slogan"": [""Can you predict the weather?""]}";6
45;"2018-01-28 17:29:52.414556";1;"{""choice_id"": 17, ""compared_id"": [15], ""choice_slogan"": ""How does your memory stack up to others?"", ""compared_slogan"": [""Can you decode an alien language?""]}";6
46;"2018-01-28 17:29:54.345102";1;"{""choice_id"": 17, ""compared_id"": [18], ""choice_slogan"": ""How does your memory stack up to others?"", ""compared_slogan"": [""Contribute to our understanding of understanding!""]}";6
47;"2018-01-28 17:30:00.447654";1;"{""choice_id"": 18, ""compared_id"": [15], ""choice_slogan"": ""Contribute to our understanding of understanding!"", ""compared_slogan"": [""Can you decode an alien language?""]}";6
48;"2018-01-28 17:30:01.884661";1;"{""choice_id"": 16, ""compared_id"": [18], ""choice_slogan"": ""Test your subconscious!"", ""compared_slogan"": [""Contribute to our understanding of understanding!""]}";6
49;"2018-01-28 17:30:03.184224";1;"{""choice_id"": 14, ""compared_id"": [13], ""choice_slogan"": ""Help us build a roadmap of memory!"", ""compared_slogan"": [""Can you predict the weather?""]}";6
50;"2018-01-28 17:30:04.756088";1;"{""choice_id"": 17, ""compared_id"": [13], ""choice_slogan"": ""How does your memory stack up to others?"", ""compared_slogan"": [""Can you predict the weather?""]}";6
51;"2018-01-28 17:30:06.260239";1;"{""choice_id"": 17, ""compared_id"": [14], ""choice_slogan"": ""How does your memory stack up to others?"", ""compared_slogan"": [""Help us build a roadmap of memory!""]}";6
52;"2018-01-28 17:30:07.774520";1;"{""choice_id"": 18, ""compared_id"": [14], ""choice_slogan"": ""Contribute to our understanding of understanding!"", ""compared_slogan"": [""Help us build a roadmap of memory!""]}";6
53;"2018-01-28 17:30:09.593027";1;"{""choice_id"": 15, ""compared_id"": [13], ""choice_slogan"": ""Can you decode an alien language?"", ""compared_slogan"": [""Can you predict the weather?""]}";6
54;"2018-01-28 17:30:16.397413";1;"{""study_id"": 3, ""newSlogan"": ""Don't use""}";6
55;"2018-01-28 17:32:17.570576";1;"{""choice_id"": 10, ""compared_id"": [11], ""choice_slogan"": ""How do people think differently?"", ""compared_slogan"": [""Compare your thinking style!""]}";7
56;"2018-01-28 17:32:18.617466";1;"{""choice_id"": 10, ""compared_id"": [7], ""choice_slogan"": ""How do people think differently?"", ""compared_slogan"": [""Do you think like others?""]}";7
57;"2018-01-28 17:32:19.449819";1;"{""choice_id"": 12, ""compared_id"": [8], ""choice_slogan"": ""Support research on the way we think!"", ""compared_slogan"": [""Are you more like a scientist or a buddha?""]}";7
58;"2018-01-28 17:32:20.076073";1;"{""choice_id"": 9, ""compared_id"": [12], ""choice_slogan"": ""How is your brain wired?"", ""compared_slogan"": [""Support research on the way we think!""]}";7
59;"2018-01-28 17:32:20.177888";1;"{""choice_id"": 9, ""compared_id"": [12], ""choice_slogan"": ""How is your brain wired?"", ""compared_slogan"": [""Support research on the way we think!""]}";7
60;"2018-01-28 17:32:20.906979";1;"{""choice_id"": 7, ""compared_id"": [9], ""choice_slogan"": ""Do you think like others?"", ""compared_slogan"": [""How is your brain wired?""]}";7
61;"2018-01-28 17:32:21.794516";1;"{""choice_id"": 8, ""compared_id"": [9], ""choice_slogan"": ""Are you more like a scientist or a buddha?"", ""compared_slogan"": [""How is your brain wired?""]}";7
62;"2018-01-28 17:32:23.756958";1;"{""choice_id"": 11, ""compared_id"": [8], ""choice_slogan"": ""Compare your thinking style!"", ""compared_slogan"": [""Are you more like a scientist or a buddha?""]}";7
63;"2018-01-28 17:32:25.195565";1;"{""choice_id"": 10, ""compared_id"": [9], ""choice_slogan"": ""How do people think differently?"", ""compared_slogan"": [""How is your brain wired?""]}";7
64;"2018-01-28 17:32:27.194954";1;"{""choice_id"": 7, ""compared_id"": [11], ""choice_slogan"": ""Do you think like others?"", ""compared_slogan"": [""Compare your thinking style!""]}";7
65;"2018-01-28 17:32:28.584229";1;"{""choice_id"": 7, ""compared_id"": [8], ""choice_slogan"": ""Do you think like others?"", ""compared_slogan"": [""Are you more like a scientist or a buddha?""]}";7
66;"2018-01-28 17:32:30.036627";1;"{""choice_id"": 7, ""compared_id"": [12], ""choice_slogan"": ""Do you think like others?"", ""compared_slogan"": [""Support research on the way we think!""]}";7
67;"2018-01-28 17:32:32.454984";1;"{""choice_id"": 8, ""compared_id"": [10], ""choice_slogan"": ""Are you more like a scientist or a buddha?"", ""compared_slogan"": [""How do people think differently?""]}";7
68;"2018-01-28 17:32:33.982826";1;"{""choice_id"": 11, ""compared_id"": [9], ""choice_slogan"": ""Compare your thinking style!"", ""compared_slogan"": [""How is your brain wired?""]}";7
69;"2018-01-28 17:32:37.507752";1;"{""choice_id"": 11, ""compared_id"": [12], ""choice_slogan"": ""Compare your thinking style!"", ""compared_slogan"": [""Support research on the way we think!""]}";7
70;"2018-01-28 17:32:38.856606";1;"{""choice_id"": 12, ""compared_id"": [10], ""choice_slogan"": ""Support research on the way we think!"", ""compared_slogan"": [""How do people think differently?""]}";7
71;"2018-01-28 17:32:42.710898";1;"{""study_id"": 2, ""newSlogan"": ""H""}";7
72;"2018-01-28 17:32:45.012589";1;"{""choice_id"": 17, ""compared_id"": [14], ""choice_slogan"": ""How does your memory stack up to others?"", ""compared_slogan"": [""Help us build a roadmap of memory!""]}";7
73;"2018-01-28 17:32:55.014065";1;"{""choice_id"": 18, ""compared_id"": [15], ""choice_slogan"": ""Contribute to our understanding of understanding!"", ""compared_slogan"": [""Can you decode an alien language?""]}";7
