starting_time,end_time,total_time,algorithm
1529534512.2006059,1529534512.3370872,0.13648128509521484,qs1
1529534512.3370924,1529534512.5243719,0.18727946281433105,qs2
1529534512.5243769,1529534512.6942656,0.16988873481750488,qs3
1529534512.69427,1529534512.8478398,0.15356993675231934,qs4
1529534512.8478441,1529534512.998437,0.15059280395507812,qs5
1529534512.998441,1529534513.1961021,0.1976611614227295,merge1
1529534513.1961079,1529534513.3312976,0.13518977165222168,partition_sort
1529534513.3313026,1529534513.4394324,0.10812973976135254,qs1
1529534513.439436,1529534513.625102,0.18566608428955078,qs2
1529534513.6251078,1529534513.8089788,0.18387103080749512,qs3
1529534513.8089833,1529534513.9579897,0.14900636672973633,qs4
1529534513.9579935,1529534514.108051,0.15005755424499512,qs5
1529534514.108054,1529534514.3078427,0.19978880882263184,merge1
1529534514.307848,1529534514.443565,0.13571691513061523,partition_sort
1529534514.4435692,1529534514.551672,0.10810279846191406,qs1
1529534514.5516758,1529534514.752285,0.2006092071533203,qs2
1529534514.7522907,1529534514.9287972,0.17650651931762695,qs3
1529534514.9288023,1529534515.0870984,0.1582961082458496,qs4
1529534515.0871027,1529534515.2381032,0.1510004997253418,qs5
1529534515.238107,1529534515.4315057,0.19339871406555176,merge1
1529534515.4315095,1529534515.5718873,0.14037775993347168,partition_sort
1529534515.5718935,1529534515.6806564,0.10876297950744629,qs1
1529534515.6806602,1529534515.866924,0.1862637996673584,qs2
1529534515.866929,1529534516.0514283,0.18449926376342773,qs3
1529534516.0514326,1529534516.2083206,0.15688800811767578,qs4
1529534516.2083247,1529534516.3568892,0.14856457710266113,qs5
1529534516.3568928,1529534516.5480165,0.19112372398376465,merge1
1529534516.5480208,1529534516.6886616,0.1406407356262207,partition_sort
1529534516.6886675,1529534516.7970736,0.10840606689453125,qs1
1529534516.7970781,1529534516.9870863,0.19000816345214844,qs2
1529534516.9870913,1529534517.1648014,0.17771005630493164,qs3
1529534517.164806,1529534517.3253305,0.16052460670471191,qs4
1529534517.3253345,1529534517.4785876,0.15325307846069336,qs5
1529534517.4785905,1529534517.6712556,0.19266510009765625,merge1
1529534517.671259,1529534517.8064532,0.1351943016052246,partition_sort
1529534517.8064597,1529534517.9209843,0.11452460289001465,qs1
1529534517.9209898,1529534518.1012475,0.18025779724121094,qs2
1529534518.1012518,1529534518.2756405,0.17438864707946777,qs3
